                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.257,                 4.2667,                 4.2383,                0.00303,                0.50919,                0.00359,                0.00108,                 2.9574,                 4.4656,                 4.1181,               0.070833,              0.0032407,              0.0032407
                      1,                 3.2451,                 4.2434,                 4.1563,                0.00296,                0.50232,                0.00389,                0.00115,                 2.9659,                 4.4707,                 4.0784,               0.040725,              0.0064656,              0.0064656
                      2,                 3.2351,                  4.166,                  4.083,                0.00291,                0.52416,                0.00464,                0.00127,                 2.9738,                 4.4691,                 4.0317,               0.010506,              0.0095805,              0.0095805
                      3,                  3.187,                 4.1065,                 4.0302,                0.00408,                0.57632,                0.00935,                0.00241,                 2.9832,                 116.05,                 5.2353,               0.009505,               0.009505,               0.009505
                      4,                  3.141,                 4.0459,                  3.923,                0.50031,                0.14375,                0.00029,                 0.0001,                 3.4625,                   4177,                 31.219,               0.009505,               0.009505,               0.009505
                      5,                 3.0442,                 4.0074,                 3.7791,                0.75772,                0.05625,                0.01377,                0.00366,                 2.9181,                 13.181,                 4.3084,                0.00934,                0.00934,                0.00934
                      6,                 2.9533,                 3.9941,                 3.6024,                0.00467,                 0.6574,                0.01363,                 0.0033,                 2.8476,                 4.2408,                 3.7178,               0.009175,               0.009175,               0.009175
                      7,                 2.8706,                 3.9377,                 3.4817,                 0.5276,                0.01912,                0.00882,                 0.0029,                 3.0265,                 6.8248,                 4.1624,                0.00901,                0.00901,                0.00901
                      8,                 2.8265,                 3.8314,                 3.3698,                0.77216,                  0.025,                 0.0159,                0.00484,                 2.9334,                  6.254,                 3.6071,               0.008845,               0.008845,               0.008845
                      9,                 2.7775,                 3.7579,                 3.2831,                0.79007,                0.02187,                0.00922,                0.00261,                 3.0414,                 8.4983,                 3.5701,                0.00868,                0.00868,                0.00868
